,dec,inc,site_lat,site_lon,vgp_lat,vgp_lon
0,"[180.40851730887286, 179.96533262371963, 180.21104712856726, 180.74199525293582, 179.2924766534438, 178.79485277575577, 178.46541967826033, 177.65431174421809]","[-0.38883519084220453, 1.354315903402713, 0.73948372928399964, 2.5790190636829351, 0.2308593399652972, 1.1767487854056258, 1.7602337517977045, 5.7948160706103886]",0.0,90.0,"[89.547578931788351, 89.321860790041725, 89.574252768031656, 88.51171758088401, 89.283122935554331, 88.658886202835376, 88.230897731507298, 86.266956678245464]","[154.5492122765022, 272.93017697258756, 240.28387948154744, 240.10091930021045, 350.73377070742066, 333.97270124852139, 330.15400521177395, 308.88943764709592]"
1,"[184.29662053857228, 177.81825797347878, 183.5966876157986, 183.00205530042618, 180.82765213669487, 183.42811691327427, 180.55642641353936, 179.16321606931191]","[-63.945553001671534, -64.521541717255843, -63.097091432361054, -63.318339544306468, -63.529461502592582, -63.434018556170415, -61.57056940617656, -60.828257868153898]",45.0,90.0,"[86.911753361587301, 87.945654231100889, 87.413273435932268, 87.869678234810777, 89.403522581457253, 87.576111219992399, 87.690364576050584, 86.792181198603444]","[166.47052114724863, 42.889838617294174, 188.08361591393538, 182.85610286796913, 168.26920852154603, 178.81528556010409, 259.80349592859989, 281.20998186057381]"
2,"[184.28093130971303, 177.92446623560315, 183.52420103547385, 182.85960852410383, 180.60053546104933, 183.92339427710942, 180.76725837274671, 180.11358061515924]","[-63.955551432855394, -63.973015244086135, -63.027596940923992, -63.925391199148443, -63.680085857960385, -63.329701086658694, -63.039589186234593, -60.960795456094623]",45.0,90.0,"[86.920200164635361, 88.391574874702059, 87.446516601027241, 87.896487774076888, 89.476692977360571, 87.219729822711471, 89.266120221488379, 87.004121133858604]","[166.20154147829635, 25.639953750294126, 190.19526615044211, 161.93108215010193, 143.81268555897401, 181.32132353786184, 221.79087996165305, 268.38491513510024]"
3,"[183.34259512209022, 182.35647119498336, 183.61964162013402, 182.2871044046195, 183.34431681144451, 183.93750487723349, 180.93338511919282, 180.22020730601059]","[-64.605001827480663, -61.425962116612872, -62.884713292511343, -63.689756658955559, -63.243358579402731, -63.323403975011836, -62.003469921546113, -61.099321961694642]",45.0,90.0,"[87.234965742613298, 87.020419595225164, 87.33656570201056, 88.35599193277082, 87.618449065988614, 87.209184190571349, 88.12031607560526, 87.163378410241322]","[146.32702345766694, 234.35995217122979, 193.57703759169596, 167.98202288891815, 184.57475059560306, 181.46743921207099, 248.79109584634386, 266.70015265908552]"
4,"[38.906505283898383, 84.962425418510236, 166.96648383115073, 157.41448924656555, 124.44810127957606, 139.52855893708121, 164.92749908215018, 167.12370733962723]","[88.984466675011788, 89.043232003777149, 88.935365679527735, 88.879450037813385, 87.301962483952678, 87.209185077234423, 88.031994744021532, 88.76787836945077]",-90.0,90.0,"[87.969571017864794, 88.086997296446484, 87.871466019003691, 87.759756613076107, 84.615837619935732, 84.431550406467281, 86.068622254235621, 87.536895267787997]","[51.093494716102839, 5.0375745814849324, 76.966483831150242, 67.414489246565495, 34.448101279576491, 49.528558937081385, 74.927499082149978, 77.123707339627458]"
5,"[178.22537605235195, 179.35816462351002, 176.79064635173191, 176.30809459636126, 172.35824761457391, 176.23723170036575, 176.14042367889567, 175.13834918700155]","[76.462596145865916, 74.990784605406986, 74.026681730769823, 75.437749476095391, 73.857869705074279, 73.512443559660028, 74.206994703199982, 74.14447308424235]",-60.0,90.0,"[85.633598316004324, 88.175255998640722, 88.386900722243709, 86.897947682925064, 86.176945422390304, 88.001473077407127, 88.020032733148042, 87.551354775372289]","[280.16444635568467, 279.56992338668238, 351.14561402988681, 303.27076450227241, 357.66305142951381, 16.548088124523758, 343.58352559155156, 348.45318289111162]"
6,"[181.93881929335225, 180.94487778618824, 177.7223761630826, 179.71307096620527, 177.23686017915568, 178.27228074647962, 175.47946777582763, 175.86002220128901]","[52.186817268865944, 50.821368521722881, 49.968632903173244, 50.984397605725462, 49.966334510758834, 49.905349686802772, 49.929573960191902, 51.361855126681164]",-30.0,90.0,"[86.753462834452506, 88.267713281351959, 87.892705825312746, 88.303085297176423, 87.498226998866826, 88.350715748881953, 86.032673657017284, 85.914973557020232]","[239.85474448684585, 242.29154368829052, 338.23656756827819, 278.27448894359463, 341.62781440166236, 334.24794955250707, 348.30593123922819, 329.22671530104611]"
7,"[182.88020712063977, 180.80237989873285, 180.36740318248616, 180.18382750512058, 179.91350657270368, 180.3409032397463, 177.75213095904581, 179.1832003373419]","[1.3943298340708821, 2.3809941562811452, 0.51757468337999446, 0.2596367703866817, 2.0257209089883044, 2.1587882026302494, 3.4087703063948291, 7.45341263529978]",0.0,90.0,"[87.036662973102693, 88.563953824559803, 89.550602846782112, 89.774954493534835, 88.983138102357671, 88.86769247752531, 87.17838723565562, 86.169488965412924]","[193.615050473162, 236.03668856132134, 215.16059036760518, 215.22984494593254, 274.87891744614444, 252.48029154086015, 322.79011563879828, 282.29421914233086]"
8,"[181.01401574778993, 180.2377306143122, 182.80446222259499, 182.21366885601481, 180.4512930432233, 182.16362220288494, 179.9350372934978, 179.12725508820003]","[-50.116381866143023, -47.34243232441225, -49.465227934191027, -49.302555911837104, -48.915533651200569, -48.725895618262193, -46.510708351643572, -44.871638271753717]",30.0,90.0,"[88.749780725791226, 88.472350916370175, 87.554811730659694, 88.076907118838747, 89.574751483627466, 88.094073350866637, 87.792413379471981, 86.379943827617069]","[134.10814652087129, 262.13765213769409, 171.89363723967733, 174.3192923610743, 202.98523204677036, 189.48268952837446, 271.49207421957902, 282.47196176225543]"
9,"[182.95533374083396, 178.01928161949752, 183.54492042180732, 183.62299711478991, 181.91743381129112, 184.72805556444871, 182.27402094555717, 178.66913637370081]","[-74.382195766694082, -74.403127047443732, -71.984124193205616, -73.778536390725435, -74.070284420098361, -73.701957373163907, -72.437296736416059, -72.008764337566248]",60.0,90.0,"[88.33959273402931, 88.720161568768361, 86.438961717309397, 88.173140162563982, 89.004984029296978, 87.604010721090631, 87.386431631308611, 86.916945022631594]","[150.26236986682602, 41.032859659858786, 237.12623115207668, 184.51565075538488, 162.78510538361576, 185.5688067346195, 242.26347176735612, 283.60463503294255]"
