,site_lat,site_lon,mean_pole_lat,mean_pole_lon,mean_pole_A95,actual_pole_lat,actual_pole_lon,mean_pole_k
0,0.0,90.0,89.000677319,303.939506698,0.982253054963,88.958698545,276.964106038,
1,45.0,90.0,88.7904467043,201.832192031,1.53223022681,88.5943372127,205.044430543,
2,45.0,90.0,88.7475570434,189.234697189,1.36732047648,88.5943372127,205.044430543,1642.25126946
3,45.0,90.0,88.0669593013,202.903556056,1.1976142644,88.5943372127,205.044430543,2140.3640424
4,-90.0,90.0,87.0016163674,53.8608757767,1.34120247271,86.8315067483,54.0859352136,1706.79756879
5,-60.0,90.0,87.8374856984,326.38929732,1.31123130116,87.6698611278,330.630706346,1785.6707097
6,-30.0,90.0,88.0353090058,314.529035371,1.44815885411,88.0036178593,309.150369561,1464.1261933
7,0.0,90.0,88.7595824269,261.738046927,1.2591380307,88.958698545,276.964106038,1936.40082443
8,30.0,90.0,88.8366280922,222.623013467,1.2802571085,88.8753082161,218.493016483,1873.0733259
9,60.0,90.0,88.6883942086,219.817141734,1.40901092024,88.1921774931,208.819934309,1546.56125004
10,90.0,90.0,86.1476930866,124.510020882,1.00440463832,86.5425661215,125.439389157,3042.61351653
11,-90.0,90.0,86.7202973034,49.8612751594,1.46974983642,86.8315067483,54.0859352136,1421.45320822
12,-60.0,90.0,87.6028570938,341.387635914,1.05047561814,87.6698611278,330.630706346,2781.66623926
13,-30.0,90.0,87.9755664988,308.386846879,1.16519185151,88.0036178593,309.150369561,2261.0822545
14,0.0,90.0,88.9774369059,284.578033568,1.16000626339,88.958698545,276.964106038,2281.33437996
15,0.0,90.0,89.0943358591,275.199717911,1.28053874108,88.958698545,276.964106038,1872.24993479
16,0.0,90.0,88.9061684249,277.474007047,1.06096717263,88.958698545,276.964106038,2726.94303908
17,0.0,0.0,89.4529421785,194.542777169,0.97099135684,89.3158271826,209.26066984,2476.27173182
18,0.0,0.0,89.4556711752,221.606284878,1.03127520778,89.3158271826,209.26066984,2195.33808246
19,0.0,0.0,89.2540132923,205.170908289,0.958735888691,89.3158271826,209.26066984,2539.95977384
