,dec,inc,site_lat,site_lon,vgp_lat,vgp_lon
0,"[306.64616685135053, 281.41586458239374, 256.38117736165475, 175.84882967276457, 202.65751734620076, 105.47295916433717, 174.99829471336199, 122.4616791544999]","[-88.432480380247014, -89.07252214277311, -88.010729587688203, -89.408495472294561, -88.922785454573486, -89.159953588781178, -88.883085310363469, -87.775851354150475]",90.0,180.0,"[86.867303770961001, 88.145530097123611, 86.026243502835911, 88.817117001421849, 87.846331908839318, 88.320268178154805, 87.767018853089994, 85.558385685428732]","[233.35383314865021, 258.58413541761661, 256.38117736165577, 175.84882967276468, 202.65751734620068, 105.47295916433205, 174.99829471336187, 122.46167915450059]"
1,"[270.44116584013273, 281.47236947354565, 313.70043843769463, 159.26646862600302, 189.5989833668983, 200.41234540839434, 113.73044019463912, 117.73444123862183]","[-88.589290422437017, -88.421470289618966, -87.963348130579874, -89.729970560332916, -88.852776419772098, -89.697013627285898, -87.51038149415767, -87.683360219247234]",90.0,180.0,"[87.180289173646287, 86.845333258072387, 85.931830068027594, 89.45995311562514, 87.706471977894807, 89.394044199109445, 85.030128842502364, 85.374270377268303]","[269.55883415970897, 258.52763052645355, 226.29956156230543, 159.26646862600899, 189.59898336689804, 200.41234540838508, 113.73044019463833, 117.73444123862174]"
2,"[130.93253696251659, 125.87532319273109, 147.74085190728215, 101.62626445672775, 327.46536536375572, 186.24828416157399, 128.20918966996916, 15.014192171249027]","[87.754395568932523, 86.922752371105943, 89.139060114286295, 89.669606114489227, 88.879375062074388, 89.080338251707687, 87.541178535624724, 88.827420420863874]",-90.0,180.0,"[85.515668993380359, 83.863156029849236, 88.278508832476717, 89.339234200081066, 87.759606833454214, 88.161150140170335, 85.091380468690346, 87.655822246410892]","[130.93253696251622, 125.87532319273095, 147.74085190728414, 101.62626445676602, 212.53463463624507, 186.24828416157385, 128.20918966996908, 164.98580782875104]"
3,"[177.18726742945262, 173.68052917675269, 176.17355110636092, 176.8977339839754, 179.75862548675693, 178.99091152592135, 172.94997348373758, 177.06520732432813]","[75.111771374584194, 72.62057334204826, 70.788302824538818, 72.571828163448117, 73.679067564290008, 71.413402277011443, 70.161138523801327, 72.608690860512709]",-60.0,180.0,"[87.580179397119153, 86.156420624627785, 84.713765007790528, 87.342346956119911, 89.625124236630327, 86.040977836243073, 83.046671753935655, 87.441229005933337]","[33.069186971205596, 119.39395784177486, 155.533732646499, 141.63976108813756, 161.01100695945149, 171.8161174996149, 143.6124966530395, 142.49584588368947]"
4,"[182.76009077560951, 182.0877957305579, 181.36575253087037, 179.25922621279992, 180.71160421235456, 178.30543717055102, 177.74752451738806, 175.29837700301275]","[47.669810519994115, 51.577130967546637, 43.633286531158355, 48.833665068281263, 49.847267898606589, 42.917072701131779, 41.627818398240017, 45.252382712697347]",-30.0,180.0,"[87.295543727277675, 87.146641250270221, 85.328112403488674, 89.314997721785858, 89.103101097137809, 84.715860970126158, 83.634007028644021, 84.75135207971789]","[243.46196937886111, 321.74875558353392, 195.31660922895236, 110.15391935384122, 316.95680443527215, 163.07206893811383, 161.09942603311458, 126.86905189408469]"
5,"[183.73688495020275, 181.47809032037077, 177.2396171717333, 180.00886726092611, 179.22986366697307, 179.44289956891365, 176.72299806949613, 174.50170965297318]","[-2.4079319818887317, -1.51363605439922, -2.3340678583882024, 4.1328467067826491, 5.2203232127145913, -6.7301671961275433, -1.1314033685837295, -4.1940977215560435]",0.0,180.0,"[86.074052166626714, 88.339398503278829, 87.003041952610545, 87.930866257767349, 87.273462246873379, 86.577673892301405, 86.674571703562734, 84.115522837780986]","[252.1201501015035, 242.87846755453336, 112.93698561060222, 359.75456526003398, 16.395325911969735, 170.64241183412759, 99.800802765402409, 110.94034508080489]"
6,"[186.8498625160849, 185.28754943574319, 179.9092061839402, 179.88540705498579, 178.8495836868934, 182.64174222722576, 182.18754425066493, 171.62659251848967]","[-52.233814570959218, -49.223693613477209, -48.851620598382006, -45.513968554355905, -43.386998898374863, -49.630014584787766, -49.865124836431761, -48.314988771824609]",30.0,180.0,"[83.504175930549906, 85.422475590003103, 89.764015048653846, 86.976777640930024, 85.186958111975542, 87.671541725861076, 87.996823223584826, 82.692817349901418]","[242.34926620222353, 267.39220207919072, 19.508299118679702, 1.9366825262028158, 12.494236676595534, 257.9250656301441, 249.92616029912614, 86.694298035083136]"
7,"[180.85946016887803, 179.20769298926183, 183.08833542121945, 179.18361674393455, 183.67605307281474, 183.95384172064618, 179.14808086039446, 171.23257266572142]","[-76.646356753576939, -73.495334809616637, -73.845747573590359, -70.644750875851514, -71.29935152557627, -72.310948837043767, -71.845241143958788, -71.979714977949982]",60.0,180.0,"[85.379192548366859, 89.23578550809026, 88.451680936282159, 84.891009365989035, 85.463501638696769, 86.74184210771017, 86.712034088160422, 84.501254147102685]","[184.58017030296929, 31.907479984647409, 271.79714122777182, 5.2774335520012698, 332.97136686619581, 319.27472676742116, 8.1731616659440078, 60.16688988903374]"
8,"[9.397497487644161, 333.71825576574656, 274.20892464708004, 211.28054763997332, 155.64945321968037, 107.51400258441414, 116.12249239632985, 109.87985855125848]","[-88.334847454176838, -88.532770988920007, -88.14381562561023, -89.038749097940567, -89.466489094328125, -89.071234521260735, -87.61569139172434, -88.136672760860066]",90.0,180.0,"[86.672503017754039, 87.067463783039997, 86.291519354193753, 88.078039013244364, 88.933070688145136, 88.142956879562206, 85.239612246867551, 86.277278620103417]","[170.60250251235584, 206.28174423425384, 265.79107535292877, 211.28054763997432, 155.64945321968338, 107.51400258441754, 116.12249239632945, 109.87985855125777]"
9,"[182.10062134579056, 178.98659812004448, 175.65441978358538, 180.51586661512491, 181.48441726157745, 178.57948298519722, 175.71289257058245, 176.16479689728169]","[63.791887858170284, 62.215946017571952, 60.847807855035434, 63.009917465053725, 63.551442788475818, 60.179874046688106, 58.837586673690858, 60.815818815415355]",-45.0,180.0,"[88.454096892831402, 88.333892919809585, 85.558886838952034, 89.357015043356398, 88.941614924097351, 85.963867589637417, 83.726694603615883, 85.78520302467976]","[287.59933088694288, 153.81681022404854, 133.22758881945066, 214.9263501441136, 278.44519428613989, 164.60861207264907, 148.18096404291924, 137.3074583191077]"
10,"[177.26873619362672, 182.13740983966719, 183.69153089860853, 179.7818917201138, 178.22267931691061, 176.27531512058815, 179.33918931714769, 182.46295763637926]","[64.661730913407339, 63.706069827033943, 61.482544884560106, 59.821619030084747, 57.829268056539014, 59.060392747343975, 62.547123261127382, 62.325555114117407]",-45.0,0.0,"[87.539171993972246, 88.45526233412626, 86.428974526869226, 85.687040240560862, 83.347689129495308, 84.148053300091433, 88.805904220961907, 87.77002873282359]","[229.74067333204712, 103.47519033304906, 49.521469050205809, 357.80038544673675, 347.9019626022905, 330.70693339644282, 336.49983803886619, 53.067805698647618]"
11,"[176.290219696359, 187.96405196432607, 183.93365888486233, 181.20736579399625, 176.54295203088463, 176.55313953041926, 183.79099398892492, 182.58257927435187]","[67.231348308553407, 63.079515085022699, 60.143260897897356, 60.099945954802145, 59.764361683098237, 62.77413343795422, 59.847600948011262, 61.169595198789374]",-45.0,30.0,"[84.41870998615714, 84.331911282234898, 85.121539252203277, 85.911432348477831, 84.94423657990022, 87.412597584015543, 84.898032010875127, 86.675641187662336]","[235.3233900301698, 118.3413015394766, 67.464742737028104, 42.88614375105945, 358.71183814383892, 317.23414416570199, 64.297937302735647, 65.11171476685189]"
12,"[185.46722796644781, 184.69870079092553, 182.8004766287807, 182.86124970840203, 176.07826546577908, 183.66591528338822, 183.24435210004526, 183.02867437064262]","[65.801624189833902, 65.970603761562472, 58.357229077518681, 61.387557718063647, 62.243305368073429, 62.148298035466453, 62.521183451148019, 61.524712410410999]",-45.0,60.0,"[85.158193154741099, 85.403123615301539, 83.702832856499086, 86.763030161999524, 86.832277229917949, 86.933512849012573, 87.423362537697301, 86.807110831934551]","[191.01337816598561, 197.13767426502045, 80.236809422307601, 100.66927944940852, 356.19539450700478, 120.2455999115308, 125.1666907378841, 104.22515261290812]"
13,"[179.0720585200599, 182.09891204677243, 180.30794786636031, 180.04856379628606, 178.46809058205139, 183.7033072018375, 182.12097042749369, 178.97346794708344]","[66.333560774060928, 61.293271190255297, 58.846590436951466, 58.782613750274827, 63.591264531550813, 61.155996137232471, 59.958214655508307, 59.057461237828356]",-45.0,90.0,"[86.182940365729579, 86.986816764087393, 84.589885098475335, 84.523639421992456, 88.901064304417005, 86.14910980333687, 85.565277224916045, 84.774116690298158]","[279.22756570761823, 120.9667874357857, 92.517619502528362, 90.392523426939931, 349.19516039948354, 135.40311803879518, 111.22758861636123, 81.312058458383092]"
14,"[179.50024960366804, 178.47355539647481, 178.71192315503541, 178.30356053192585, 179.72792614560541, 182.89757125514066, 181.90468368271129, 180.15122242407301]","[66.425708295966785, 61.52288038121533, 56.633274731940936, 61.714257258270074, 63.259581067409549, 59.125497875358953, 58.140215651508605, 59.392879151851226]",-45.0,120.0,"[86.096616189841512, 87.421896063085924, 82.14763672755474, 87.568055449437409, 89.708476378072277, 84.475789509648493, 83.658233491309801, 85.203675736008421]","[304.83274200290998, 94.186510484448547, 112.46995751383508, 89.262786431662619, 78.513397443383781, 143.75440551123125, 133.55872118354824, 121.38141702292967]"
15,"[178.69250569578278, 176.91776475701914, 180.75049514145931, 176.81687657605463, 180.19981916926486, 179.14422598591096, 176.87809818206168, 177.57542367096673]","[65.921048955224535, 62.676620027408177, 59.636223036629843, 61.240694514895978, 61.033733554083767, 59.422003880410891, 56.266477908745429, 59.605791329498558]",-45.0,150.0,"[86.665979292478312, 87.610898934682609, 85.446182150433387, 86.478233753374127, 87.087198694957493, 85.196371658563635, 81.492955812259282, 85.109898991718708]","[345.15680934160889, 82.043811915870265, 157.20881235526315, 108.07002959274433, 152.91928047876394, 142.17487114732825, 132.86090250832888, 127.81038066899094]"
16,"[182.06557540271353, 179.09463950159659, 180.27595049577721, 181.36634381637299, 180.90915888988718, 178.709257226311, 179.66865519245738, 175.17380534645562]","[63.926786392285308, 65.619645265474389, 59.185853231719712, 63.11598204106663, 62.286012493790601, 59.787369845823086, 60.17579063986436, 61.591813395562014]",-45.0,180.0,"[88.421094559315762, 87.121141581557666, 84.968563385196475, 88.952370913120276, 88.442748099843286, 85.549390297061564, 86.087267342784386, 85.858388506644488]","[293.80369616710226, 12.197634200062396, 182.41198403998732, 248.21122505945885, 205.01946620436291, 167.27719559390704, 176.33808732051966, 121.19335311207948]"
17,"[180.40034384882011, 178.42083701471208, 179.52575889679602, 180.49509380407591, 182.61490501280034, 177.30323851999759, 176.09913905611882, 174.70823627863172]","[62.710275238338511, 64.853946755650284, 59.491421939421819, 62.786861925323052, 62.94985057208126, 60.238087725131514, 60.289888552964484, 63.410514959319279]",-45.0,210.0,"[89.058437281117222, 87.885126354905751, 85.303031253936794, 89.122777147599649, 88.046170909146355, 85.690617379065984, 85.273421162892106, 86.257701777338482]","[227.77850372511176, 60.739195220587675, 205.57972134395334, 233.86912145944092, 282.96159765758233, 181.87706397939945, 171.61453949458542, 118.59596531865509]"
