,site_lat,site_lon,mean_pole_lat,mean_pole_lon,mean_pole_A95,actual_pole_lat,actual_pole_lon,mean_pole_k
0,90.0,180.0,88.5134872083,196.505327215,1.73288899892,88.3353274564,192.526063789,
1,90.0,180.0,88.6284901659,183.222662886,2.18502642872,88.3353274564,192.526063789,
2,-90.0,180.0,87.311756742,142.864855886,1.66208123068,88.0694437559,138.446912442,
3,-60.0,180.0,87.0169213926,141.423857464,1.92004307291,87.4690633403,149.814194918,
4,-30.0,180.0,87.8180982171,172.076865242,2.54011082921,87.9973806381,156.207444984,
5,0.0,180.0,88.8922717341,120.464735185,2.40419677703,89.2641076805,163.7611509,
6,30.0,180.0,89.101396923,303.59183111,3.18808965245,89.4053842032,329.364359844,
7,60.0,180.0,88.2883201437,0.0132996054889,2.57640939367,88.5566058361,340.775470793,
8,90.0,180.0,88.3110195258,160.388778194,1.92437102378,88.3353274564,192.526063789,
9,-45.0,180.0,87.6608073445,153.611862131,1.93553987457,87.5049211112,154.419651443,
10,-45.0,0.0,87.6572718864,357.642485062,2.32409585518,88.6232450693,21.824191249,
11,-45.0,30.0,87.9352052795,54.526440824,3.05086452101,88.531180982,60.9629160876,
12,-45.0,60.0,87.8164317594,122.320118309,2.49195097149,87.8801789796,95.4995532084,
13,-45.0,90.0,87.271821213,99.7515813222,2.40396547536,87.1953271787,110.747706459,
14,-45.0,120.0,86.9306987807,119.786382574,2.68713060799,86.9318950449,118.864824818,
15,-45.0,150.0,86.6288676196,128.840058826,2.41068383191,87.1018317854,131.523672954,
16,-45.0,180.0,88.2587202974,171.360609863,2.12633863516,87.5049211112,154.419651443,
17,-45.0,210.0,88.1628723434,178.670999388,2.00134667156,87.8648320224,182.260092761,
18,-45.0,240.0,88.1807652361,212.543715715,1.78968272297,88.3301452081,208.723742576,
19,-45.0,270.0,89.2207175217,221.120877664,2.89776047443,88.9940961777,247.978726257,
20,-45.0,300.0,89.3175995916,350.323427926,2.57842718473,89.080938583,320.455319912,
21,-45.0,330.0,87.5802142349,346.801254865,2.60998756742,88.6985611119,357.277102008,
22,-45.0,360.0,88.8961837094,56.2385803709,3.56980531985,88.6232450687,21.8241912491,
23,-45.0,360.0,87.4617038291,73.2979532656,1.71821504109,87.5519818248,79.2396972862,
24,-45.0,180.0,84.9741559024,145.001026402,1.6347581305,84.9270272863,144.318349377,
25,-45.0,180.0,84.5715141635,143.048302448,1.54666576889,84.9270272863,144.318349377,
26,0.0,180.0,85.6908723076,119.497276651,1.91576624936,85.6299727876,118.749729288,
27,0.0,180.0,85.7518894399,119.643598851,2.11097785613,85.6299727876,118.749729288,
28,0.0,90.0,86.3701013318,137.776390557,1.00197748985,86.5335222186,138.873322149,
29,0.0,90.0,87.4640299976,165.569811974,1.85442581532,87.7778040112,166.243124178,
30,0.0,90.0,87.7706218899,159.153841848,2.01104231054,87.7778040112,166.243124178,
31,0.0,90.0,87.7109389486,168.009914188,1.63624302019,87.7778040112,166.243124178,
32,0.0,90.0,88.0338756118,172.145040084,1.76865536405,87.7778040112,166.243124178,981.891314323
33,0.0,90.0,87.6125047985,168.656614645,1.86097760074,87.7778040112,166.243124178,886.977707363
34,-90.0,90.0,88.7160080022,72.8566783084,1.52807253241,88.6821282199,84.0195671143,1315.08866454
35,-60.0,90.0,86.3298160638,112.123294852,1.62742322597,86.3725033951,102.886315389,1159.5359052
36,-30.0,90.0,86.8405955794,124.940747943,1.78271932882,86.9018624103,128.264280262,966.47501761
37,0.0,90.0,87.3984377351,166.479260494,1.98028077733,87.7778040112,166.243124178,783.435393757
38,30.0,90.0,88.2301918487,236.213294418,1.65181559195,88.3061454721,231.15969569,1125.5709532
39,60.0,90.0,88.3937584417,279.686141773,1.6611553405,87.9459392145,279.694019461,1112.96030627
40,90.0,90.0,87.338512318,53.7591668352,1.40976950871,87.6550314438,61.9466185603,1544.8983325
41,-90.0,90.0,88.3152681937,78.8507579174,1.28923609711,88.6821282199,84.0195671143,1847.0870669
42,0.0,90.0,88.2569355603,181.947560376,1.57246200321,87.7778040112,166.243124178,1241.94167519
43,0.0,90.0,87.6676642073,159.758429614,2.17118742897,87.7778040112,166.243124178,651.881782884
44,0.0,90.0,87.8165245311,166.020936335,2.04934091771,87.7778040112,166.243124178,731.586685822
45,0.0,90.0,87.9704009899,170.027862926,1.93272665882,87.7778040112,166.243124178,822.414561604
46,0.0,0.0,89.7116908814,113.242973989,3.12330373585,89.6820235766,183.470870341,315.510179648
47,0.0,0.0,89.3916735201,279.69958473,3.45952306707,89.6820235766,183.470870341,257.339738027
48,75.0,0.0,88.8992894025,135.327999859,2.57668311493,88.8489243896,124.114780109,463.127583873
